brand,car_model,datatime,datetime,desc,id,problem,status,type
长城汽车,哈弗H6 Coupe,2020-06-23,,哈弗H6 Coupe电瓶亏电充电后未解决,487662,"H146,",处理反馈,2018款 1.5T 自动 两驱 超豪型 蓝标
众泰汽车,众泰T700,2020-06-23,,众泰T700方向盘转不动希望尽快解决,487660,"D156,D291,",处理反馈,2017款 1.8T 双离合 尊贵型
一汽-大众奥迪,奥迪A4L,2020-06-23,,一汽大众奥迪A4L变速箱机电单元故障,487651,"B115,",信息审核,2019款 40 TFSI 时尚型 国VI
北京现代,菲斯塔,2020-06-23,,北京现代菲斯塔4S店不兑现贴膜承诺,487647,"L313,",信息审核,2019款 280TGDi 运动版 国VI
吉利汽车,缤越,2020-06-23,,吉利缤越车机系统黑屏死机升级承诺不兑现,487645,"H155,L314,",处理反馈,2019款 260T DCT 骑士 国VI
吉利汽车,缤越,2020-06-23,,吉利缤越车门漏风 系统升级承诺不兑现,487639,"H144,L314,",处理反馈,2019款 260T DCT 游侠 运动款 国V
北汽银翔,幻速S6,2020-06-23,,北汽幻速S6发动机噪音大后视镜漆面变色,487638,"A38,H201,",信息审核,2017款 1.5T 手动 智能型
吉利汽车,吉利icon,2020-06-23,,吉利icon厂家置换补贴政策不兑现,487635,"L313,",处理反馈,2020款 300T i9 BSG
奇瑞汽车,捷途X70S,2020-06-23,,捷途X70S发动机冷却风扇固定螺丝脱落,487634,"A191,A145,H101,",用户评分,2019款 X70S 1.5T 手动 征途版 国V
一汽丰田,卡罗拉,2020-06-23,,一汽丰田卡罗拉悬架螺丝生锈存在质量问题,487625,"H79,",信息审核,2019款 1.2T S-CVT GL-i精英版
吉利汽车,缤越,2020-06-23,,吉利缤越发动机漏油希望厂家处理问题,487619,"A12,",信息审核,2019款 260T DCT 游侠 国VI
吉利汽车,嘉际,2020-06-23,,吉利嘉际漆面起泡希望厂家处理问题,487615,"H81,",用户评分,2019款 1.5TD MHEV DCT 臻享型
长安马自达,马自达CX-5,2020-06-23,,长安马自达CX-5中控屏闪屏希望厂家处理,487613,"H134,",厂家受理,2015款 2.5L 自动 四驱 旗舰型
吉利汽车,星越,2020-06-23,,吉利星越贴膜工艺差导致门窗有起泡,487612,"J303,J299,",用户评分,2019款 改款 350T 耀星者
东风悦达起亚,起亚K4,2020-06-23,,东风悦达起亚K4变速箱抖动换挡顿挫,487611,"B19,B95,",处理反馈,2017款 1.6T 自动 T-DLX Turbo
东风日产,劲客,2020-06-23,,东风日产劲客中控卡屏播放音乐断开,487609,"H134,",处理反馈,2017款 1.5L CVT 智行版
一汽-大众奥迪,奥迪A6L,2020-06-23,,一汽大众奥迪A6L节温器底座漏液,487605,"A37,",信息审核,2016款 TFSI 双离合 运动型
东风标致,标致408,2020-06-23,,东风标致408减震器异响希望得到处理,487603,"G52,",处理反馈,2016款 1.6T 自动 豪华版
广汽三菱,欧蓝德,2020-06-23,,广汽三菱欧蓝德左后方安全带无法抽出,487602,"H118,",厂家受理,2019款 2.0L 两驱 畅享版 5座 国VI
吉利汽车,博越,2020-06-23,,吉利博越漆面脱落严重影响车辆美观,487600,"H81,",处理反馈,2018款 1.8TD 自动 两驱 智联型 4G互联版
北京现代,领动,2020-06-23,,北京现代领动新车顶棚存在明显污渍,487596,"L313,M284,",信息审核,2020款 1.5L CVT 智炫・精英型
长城汽车,WEY VV5,2020-06-23,,WEY VV5流媒体重启影响正常使用,487594,"H155,",处理反馈,2020款 1.5T 两驱 智先锋
长城汽车,哈弗H2,2020-06-23,,哈弗H2颠簸时转向与左前轮异响明显,487592,"D59,G125,",处理反馈,2017款 1.5T 自动 两驱精英型 蓝标
吉利汽车,吉利GX7,2020-06-23,,吉利GX7冷车启动发动机异响升挡顿挫,487588,"A9,B19,",处理反馈,2014款 2.0L 自动 尊贵型
长安马自达,马自达3 昂克赛拉,2020-06-23,,长安马自达昂克赛拉减震器异响漏油,487587,"G52,G25,",厂家受理,2017款 1.5L 自动 豪华型 三厢 国V
一汽-大众奥迪,奥迪A4L,2020-06-23,,一汽大众奥迪A4L倍耐力轮胎鼓包,487586,"F39,",信息审核,2019款 40 TFSI 时尚型 国VI
吉利汽车,缤越,2020-06-23,,吉利缤越车机升级后没有网络信号,487585,"H155,O348,",处理反馈,2019款 260T DCT Battle 运动款 国V
上汽大众,朗逸,2020-06-23,,上汽大众朗逸车内异味刹车盘异响,487584,"D59,E43,H185,",信息审核,2017款 1.6L 手动 舒适版
吉利汽车,帝豪GL,2020-06-23,,吉利帝豪GL离合器不回位刹车故障灯亮,487583,"C267,E62,",用户评分,2017款 1.8L 手动 精英型
上汽大众,朗逸,2020-06-23,,上汽大众朗逸起步时抖动 换挡时顿挫,487577,"B19,B95,C87,",信息审核,2011款 1.4TSI DSG 品雅版
一汽-大众,高尔夫,2020-06-23,,一汽大众高尔夫韩泰轮胎开裂影响行车安全,487575,"F100,",处理反馈,2017款 280TSI 自动 R-Line百万辆纪念版
北京现代,领动,2020-06-23,,北京现代领动发动机异响漏水 压缩机损坏,487570,"A9,A37,H101,",信息审核,2016款 1.4T  双离合 炫动・精英型
广汽丰田,凯美瑞,2020-06-23,,广汽丰田凯美瑞中控黑屏触摸没反应,487567,"H134,",处理反馈,2016款 2.5HG CVT 十周年纪念豪华导航版 双擎
上汽大众,途观L新能源,2020-06-23,,上汽大众途观L新能源仪表盘外罩开裂,487566,"H168,",厂家受理,2019款 430PHEV 混动豪华版
长安汽车,长安欧尚CX70,2020-06-23,,长安欧尚CX70变速箱异响顿挫传动轴异响,487565,"B33,B19,G158,H67,",厂家受理,2017款 1.5T 手动 豪擎版 CX70T
东风本田,本田XR-V,2020-06-23,,东风本田XR-V后风挡玻璃存在划痕,487563,"H113,",处理反馈,2020款 1.5L CVT 舒适版
一汽-大众奥迪,奥迪A4L,2020-06-23,,一汽大众奥迪A4L发动机节温器漏防冻液,487562,"A37,",信息审核,2017款 2.0T 双离合 时尚型 Plus
一汽丰田,RAV4荣放,2020-06-23,,一汽丰田RAV4荣放购车缴纳定金未退还,487560,"K309,",信息审核,2020款 2.0L CVT 两驱 都市版
北京奔驰,奔驰GLB,2020-06-23,,北京奔驰GLB车窗有严重异响希望解决,487559,"H72,",信息审核,2020款 GLB 200 时尚型
长城汽车,哈弗H2,2020-06-23,,哈弗H2自动驻车故障报警电瓶亏电厂家未回复,487555,"H146,H170,I294,",用户评分,2018款 1.5T 双离合 两驱 精英型 红标
一汽-大众,宝来,2020-06-23,,一汽大众宝来前挡风玻璃破裂质量差,487554,"H113,",处理反馈,2020款 1.5L 自动 精英型
一汽-大众,探岳,2020-06-23,,一汽大众探岳发动机怠速时油箱有异响,487553,"H147,",用户评分,2020款 330TSI 两驱 豪华智联版
上汽大众,朗逸,2020-06-23,,上汽大众朗逸方向盘异响空调异味排气管生锈,487550,"D59,G51,H101,H30,",厂家受理,2017款 1.6L 手动 风尚版
长安汽车,锐程CC,2020-06-23,,长安锐程CC变速箱P挡卡顿影响正常使用,487548,"B20,",用户评分,2020款 1.5T 自动 炫锐型
福田汽车,拓陆者,2020-06-23,,福田拓陆者变速箱倒挡打齿 发动机故障灯亮,487547,"A34,B77,",信息审核,2019款 2.0T E7 手动 四驱 城市版 高配 4G20TI4
东风雪铁龙,雪铁龙C3-XR,2020-06-23,,东风雪铁龙C3-XR发动机故障灯亮,487545,"A34,",处理反馈,2018款 1.6L 自动 先锋型 改款
东风日产,逍客,2020-06-23,,东风日产逍客刹车异响4S店不予解决,487544,"E43,",处理反馈,2019款 2.0L CVT 豪华版
一汽-大众,探岳,2020-06-23,,一汽大众探岳大灯透镜发白影响照明,487541,"H82,",处理反馈,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ
广汽丰田,凯美瑞,2020-06-23,,广汽丰田凯美瑞左右半轴防尘罩漏油,487540,"G51,",处理反馈,2015款 2.5HG CVT 豪华导航版 双擎
一汽-大众奥迪,奥迪A4L,2020-06-23,,奥迪A4L防冻液水壶开裂导致冷却液泄漏,487530,"A37,H168,",信息审核,2015款 2.0T CVT 标准型
吉利汽车,远景,2020-06-23,,吉利远景发动机抖动 后杠色差要求尽快处理,487528,"A24,B20,H201,",处理反馈,2017款 1.5L 自动 幸福版
一汽-大众,速腾,2020-06-23,,一汽大众速腾4S店销售库存车不履行承诺,487527,"I295,I293,L313,M283,",处理反馈,2020款 200TSI DSG 舒适型 国VI
众泰汽车,众泰E200,2020-06-23,,众泰E200中控屏损坏无法使用希望处理,487526,"H134,",信息审核,2018款 Pro
一汽-大众奥迪,奥迪Q5,2020-06-23,,一汽大众奥迪Q5变速箱挂倒挡无法行驶,487525,"B334,",信息审核,2012款 2.0TFSI  自动 舒适型
众泰汽车,众泰T300,2020-06-23,,众泰T300主驾驶玻璃升降器开关损坏,487524,"H67,N318,",处理反馈,2018款 1.5L CVT 尊贵型
东风雪铁龙,世嘉,2020-06-23,,东风雪铁龙世嘉变速箱电磁阀故障挡位锁死,487523,"B20,B84,",处理反馈,2013款 2.0L 自动 品悦型 三厢
吉利汽车,帝豪GS,2020-06-23,,吉利帝豪GS底盘生锈4S店不予处理,487519,"H79,",用户评分,2016款 1.3T 自动 领尚型 优雅版
东风日产,逍客,2020-06-23,,东风日产逍客起步无力 变速箱顿挫,487518,"B19,B334,",处理反馈,2016款 2.0L CVT 旗舰版
吉利汽车,星越,2020-06-23,,吉利星越车辆多处减配一直不予处理,487517,"Q350,",处理反馈,2019款 改款 350T 耀星者
一汽-大众,迈腾,2020-06-23,,一汽大众迈腾变速箱故障机电单元损坏,487515,"B96,B84,B115,",处理反馈,2019款 330TSI DSG 领先型 国V
北京现代,朗动,2020-06-23,,北京现代朗动中控屏黑屏无法使用,487514,"H134,",信息审核,2015款 1.6L 自动 领先型
吉利汽车,远景X3,2020-06-23,,吉利远景X3经销商私自收取利息及保险押金,487511,"K307,",处理反馈,2017款 1.5L 手动 尊贵型
吉利汽车,缤瑞,2020-06-23,,吉利缤瑞四个车门全部生锈希望尽快解决,487510,"H79,",用户评分,2018款 14T CVT 缤致版
吉利汽车,博越,2020-06-23,,吉利博越仪表盘花屏售后不予免费质保,487508,"H134,",处理反馈,2016款 1.8TD 自动 两驱 智尚型
海马汽车,海马S5,2020-06-23,,海马S5变速箱异响 漆面腐蚀生锈厂家未处理,487506,"B33,H79,",处理反馈,2014款 1.6L 手动 智尚型
一汽-大众,探岳,2020-06-23,,一汽大众探岳刹车偏软 变速箱顿挫 大灯不亮,487505,"B19,E269,H82,",处理反馈,2019款 330TSI 两驱 尊贵型 国Ⅵ
几何汽车,几何A,2020-06-23,,几何A多次无故自动刹停 后门与车轮异响,487503,"G125,H72,H170,",信息审核,2019款 高维标准续航立方版
上汽斯柯达,柯米克,2020-06-23,,斯柯达柯米克ABS系统非正常启动,487502,"E74,",信息审核,2020款 GT 1.5L 自动 旗舰版 国VI
吉利汽车,博越,2020-06-23,,吉利博越实车无挡位灯和前雾灯与宣传不符,487500,"M279,",处理反馈,2020款 1.8TD DCT 智领PRO
奇瑞汽车,瑞虎8,2020-06-23,,奇瑞瑞虎8水泵泄漏防冻液4S店无配件更换,487499,"A37,A221,N318,",处理反馈,2019款 1.6TGDI 自动 豪华型
奇瑞汽车,艾瑞泽5,2020-06-23,,奇瑞艾瑞泽5变速箱脱挡无法行驶,487497,"B246,",处理反馈,2016款 1.5L CVT 领潮版
长城汽车,哈弗H6 Coupe,2020-06-23,,哈弗H6 Coupe后备箱漏水天窗异响方向盘沉重,487492,"B184,D156,H109,H89,",处理反馈,2016款 1.5T 自动 两驱都市型
上汽大众,Polo,2020-06-23,,上汽大众Polo经销商出售库存车态度恶劣,487491,"I293,M283,",信息审核,2019款 Plus 1.5L 自动 全景乐享版
北汽新能源,北汽新能源EU5,2020-06-23,,北汽新能源EU5方向跑偏 轮胎吃胎 底盘异响,487490,"G56,G245,G117,",处理反馈,2018款 EU5 R500 智风版
东风标致,标致408,2020-06-23,,东风标致408正时皮带召口未通知,487487,"O296,",处理反馈,2015款 1.2T 自动 豪华版
北汽新能源,北汽新能源EU5,2020-06-23,,北汽新能源EU5车机APP无法实名认证,487486,"I295,O348,",用户评分,2018款 EU5 R500 智风版
华晨宝马,宝马5系,2020-06-23,,华晨宝马5系倒车影像黑屏 4S店不予解决,487478,"H134,I295,",厂家受理,2018款 530Li 领先型 豪华套装
海马汽车,海马8S,2020-06-23,,海马8S经销商换购补贴承诺一直不兑现,487476,"L313,",处理反馈,2019款 1.6TGDI 自动 潮版
沃尔沃亚太,沃尔沃S60,2020-06-23,,亚太沃尔沃S60前悬架平衡杆胶套有异响,487473,"G204,",信息审核,2016款 2.0T T4 智远版
广汽丰田,雷凌,2020-06-23,,广汽丰田雷凌变速箱顿挫厂家推诿未解决,487472,"B19,I295,I282,",处理反馈,2019款 185T CVT 豪华版 国VI
北京奔驰,奔驰C级,2020-06-23,,北京奔驰C级行驶中水温高维修后未解决,487469,"A191,",信息审核,2018款 C 180 L 时尚型 运动版
长安马自达,马自达CX-5,2020-06-23,,长安马自达CX-5变速箱行驶时有异响,487468,"B33,",用户评分,2015款 2.0L 自动 两驱 都市型
雷克萨斯,雷克萨斯NX,2020-06-23,,雷克萨斯NX发动机真空阀损坏出现异响,487465,"A9,A163,",厂家受理,2015款 200t 锋尚版 全驱 5座
猎豹汽车,猎豹CS10,2020-06-23,,猎豹CS10底盘和方向机异响 车身漏水,487461,"A34,D59,G56,H109,N318,",信息审核,2017款 1.5T 手动 精英型
江铃福特,领界,2020-06-23,,江铃福特领界发动机故障灯亮启停功能失效,487457,"A34,H263,J298,O324,",处理反馈,2019款 EcoBoost 145 CVT 铂领型 国V
吉利汽车,星越,2020-06-23,,吉利星越刹车和雨刮器异响 车机死机黑屏,487456,"E43,H155,H60,",处理反馈,2019款 350T 探星者
一汽-大众奥迪,奥迪A6L,2020-06-23,,一汽大众奥迪A6L发动机机油加注口渗油,487454,"A12,B22,",信息审核,2019款 45 TFSI 臻选动感型
广汽丰田,凯美瑞,2020-06-23,,广汽丰田凯美瑞半轴防尘套漏油4S店不保修,487452,"G161,I297,",处理反馈,2015款 2.5G 自动 豪华导航版
奇瑞汽车,捷途X70,2020-06-23,,捷途X70雨刮器喷水角度太低4S店拒赔,487451,"H60,I297,",处理反馈,2018款 1.5T 手动 悦行版
吉利汽车,星越,2020-06-23,,吉利星越起步时变速箱顿挫换挡不顺畅,487448,"B19,B20,M279,Q350,",处理反馈,2019款 350T 耀星者
广汽讴歌,讴歌CDX,2020-06-23,,广汽讴歌CDX经销商销售维修过的问题车,487447,"M284,M283,",处理反馈,2016款 1.5T 两驱尊享版
上汽集团,名爵6,2020-06-23,,上汽名爵6离合器打滑踏板脱落4S店不保修,487442,"C16,C166,I297,",处理反馈,2017款 20T 手动 豪华智联版 国V
一汽-大众,迈腾,2020-06-23,,一汽大众迈腾变速箱异响抖动顿挫,487436,"B33,B19,B95,",用户评分,2016款 1.8TSI 智享领先型
东风电动轻卡,EV300,2020-06-23,,东风电动轻卡EV300续航里程不准确行驶断电,487434,"A346,H344,",信息审核,ev300
上汽大众,朗逸,2020-06-23,,上汽大众朗逸变速箱和发动机漏油,487432,"A12,B22,E99,",信息审核,2015款 1.6 手动 舒适版
一汽丰田,RAV4荣放,2020-06-23,,一汽丰田RAV4荣放发动机舱进泥浆,487428,"Q322,",信息审核,2020款 2.0L CVT 两驱 风尚版
吉利汽车,博越,2020-06-23,,吉利博越新车简配雾灯和挡位灯与宣传不符,487427,"M279,",用户评分,2020款 1.8TD DCT 智尊PRO
东风日产,逍客,2020-06-23,,东风日产逍客变速箱漏油有明显顿挫感,487426,"B19,B22,",处理反馈,2017款 2.0L CVT 智享版 国V
吉利汽车,帝豪GS,2020-06-23,,吉利帝豪GS挂挡困难 变速箱顿挫,487423,"B19,B20,",处理反馈,2018款 1.4T 手动 运动版 领尚型
一汽-大众,探岳,2020-06-23,,一汽大众探岳大灯白雾不透亮影响使用,487422,"H82,",用户评分,2019款 330TSI 两驱 豪华型 国Ⅵ
奇瑞捷豹路虎,发现神行,2020-06-23,,奇瑞捷豹路虎发现神行发动机舱内有杂音,487421,"A9,",处理反馈,2019款 240PS SE版 国VI
吉利汽车,博瑞,2020-06-23,,吉利博瑞车门由内而外生锈并且腐烂,487417,"H79,",处理反馈,2015款 2.4L 舒适型
东风悦达起亚,焕驰,2020-06-23,,东风悦达起亚焕驰天窗出现掉漆现象,487416,"H81,",处理反馈,2017款 1.4L 自动 智享版 Value
宝马（进口）,宝马3系（进口）,2020-06-23,,进口宝马3系转向助力故障报警希望解决,487415,"D291,",厂家受理,2011款 325i 2.5 自动  双门轿跑车
吉利汽车,缤越,2020-06-23,,吉利缤越车窗漏风 车及系统无法升级,487413,"H155,H144,L314,",处理反馈,2019款 运动款 260T DCT Battle 国VI 运动款
众泰汽车,众泰T600,2020-06-23,,众泰T600变速箱异响严重希望尽快处理,487411,"A189,B33,",用户评分,2015款 1.5T 手动 精英型
北京现代,现代ix35,2020-06-23,,北京现代ix35经销商出售库存车未告知,487410,"K308,M283,",信息审核,2019款 2.0L 自动 两驱 智勇・畅享版 国VI
一汽-大众,探岳,2020-06-23,,一汽大众探岳变速箱换挡异响 大灯白内障,487406,"B33,H82,",处理反馈,2019款 330TSI 两驱 豪华型 国Ⅵ
吉利汽车,星越,2020-06-23,,吉利星越车机系统升级后仍然存在问题,487405,"O348,",处理反馈,2019款 350T 耀星者
东风风行,风行SX6,2020-06-23,,东风风行SX6起步时发动机出现异响,487404,"A9,",处理反馈,2018款 1.6L 手动 豪华型
众泰汽车,众泰SR9,2020-06-23,,众泰SR9后备箱开关失灵 行驶中失去动力,487402,"B334,H68,",处理反馈,2017款 2.0T 自动 极致之心版
一汽-大众,宝来,2020-06-23,,大众宝来发动机异响 销售指定款渠道及保险,487399,"A9,K325,",处理反馈,2016款 1.6L 自动 时尚型
吉利汽车,帝豪GS,2020-06-23,,吉利帝豪GS方向盘不正 多媒体闪退,487387,"D154,H134,",处理反馈,2019款 1.4T CVT 雅
一汽-大众,T-ROC探歌,2020-06-23,,一汽大众探歌韩泰轮胎开裂希望厂家处理,487384,"F100,",处理反馈,2019款 280TSI DSG 两驱 舒适型 国V
吉利汽车,星越,2020-06-23,,吉利星越车机系统黑屏卡顿影响使用,487381,"H155,",处理反馈,2019款 300T 耀星者
一汽-大众,速腾,2020-06-23,,一汽大众速腾发动机高压泵异响严重,487380,"A9,",处理反馈,2018款 280TSI DSG熠动版
广汽丰田,YARiS L 致炫,2020-06-23,,广汽丰田致炫4S店承诺不兑现提不到车,487379,"L313,L312,",用户评分,2020款 致炫X 1.5L CVT 领先版
吉利汽车,星越,2020-06-23,,吉利星越系统升级过后死机卡顿希望厂家处理,487377,"H155,O348,",处理反馈,2019款 350T AWD 驭星者
上汽大众,朗逸,2020-06-23,,上汽大众朗逸热车加速行驶时发动机异响,487375,"A9,",信息审核,2019款 1.5L 自动 舒适版 国VI
广汽本田,冠道,2020-06-23,,广汽本田冠道后备箱漏水4S店不予保修,487373,"H109,H68,I297,",处理反馈,2017款 370TURBO 自动 四驱 尊享版
东风本田,本田CR-V,2020-06-23,,东风本田CR-V中控台异响希望尽快处理,487372,"H93,",厂家受理,2019款 锐・混动 2.0L 两驱 净驰版 国VI
上汽大众,帕萨特新能源,2020-06-23,,上汽大众帕萨特新能源动力电池故障,487369,"H343,",信息审核,2020款 430PHEV 混动豪华版 国VI
北京汽车,绅宝X65,2020-06-23,,绅宝X65踩油门车身左右摆动厂家未回复处理,487365,"G204,I295,I294,",处理反馈,2015款 2.0T  自动 舒适型
奇瑞汽车,捷途X90,2020-06-23,,捷途X90 4S店举办活动承诺不予兑现,487363,"L314,",用户评分,2019款 1.6T DCT 智享型 5座 国V
捷豹,捷豹XF,2020-06-23,,进口捷豹XF加油时频繁跳枪存在质量缺陷,487360,"H271,",处理反馈,2014款 2.0T 风华版
东风雪铁龙,雪铁龙C4L,2020-06-23,,东风雪铁龙C4L转向柱旷量 油箱变形,487359,"A63,D337,H271,",处理反馈,2013款 1.8L 手动 劲享版
吉利汽车,星越,2020-06-23,,吉利星越车机卡顿操作版本与宣传不符,487356,"M279,",处理反馈,2019款 350T 耀星者
北京现代,名图,2020-06-23,,北京现代名图转向异响4S店多次维修不解决,487354,"D59,I297,J298,",信息审核,2017款 1.8L 自动 智能型 GLS 国V
吉利汽车,博越,2020-06-23,,吉利博越变速箱漏油希望厂家尽快解决,487353,"B22,",处理反馈,2016款 1.8TD 自动 两驱 智尊型
一汽-大众奥迪,奥迪A4L,2020-06-23,,一汽大众奥迪A4L车内异味严重要求解决,487352,"H185,",信息审核,2013款 2.0T 自动 舒适型
吉利汽车,星越,2020-06-23,,吉利星越车机系统死机版本与宣传不符,487351,"H155,M279,",处理反馈,2019款 350T 耀星者
江铃集团新能源,江铃E100B,2020-06-23,,江铃E100动力电池故障维修时间长,487348,"H343,",信息审核,2016款 标准型
东南汽车,东南DX7,2020-06-23,,东南DX7开启雨刮时雨刮器有异常响声,487346,"H60,",处理反馈,2016款 1.5T 自动 荣耀版
一汽丰田,RAV4荣放,2020-06-23,,一汽丰田RAV4荣放右前侧半轴防尘套漏油,487345,"G51,",信息审核,2015款 2.0L CVT 两驱都市版
吉利汽车,远景,2020-06-23,,吉利远景车门及车身螺栓生锈厂家不解决问题,487344,"H79,",用户评分,2018款 1.5L 手动 幸福版
江淮汽车,瑞风S3,2020-06-23,,江淮瑞风S3气囊灯常亮多次维修无法解决,487342,"H103,",处理反馈,2015款 1.5L 手动 豪华智能尊享版
一汽-大众,高尔夫,2020-06-23,,一汽大众高尔夫变速箱程序落后换挡迟缓,487341,"B69,",用户评分,2015款 1.6L 自动 时尚型
上汽大众,凌渡,2020-06-23,,上汽大众凌渡车内异味希望厂家处理,487337,"H185,",信息审核,2015款 330TSI DSG 舒适版
领克汽车,领克01,2020-06-23,,领克01轮胎亏气但胎压监测未报警,487336,"H203,",处理反馈,2019款 2.0T 两驱 纯版 国V
吉利汽车,星越,2020-06-23,,吉利星越车机系统升级后依然卡顿,487335,"O348,",处理反馈,2019款 350T AWD 驭星者
一汽-大众奥迪,奥迪A6L,2020-06-23,,一汽大众奥迪A6L中控仪表台面板起泡凸起,487334,"H176,",信息审核,2020款 45 TFSI quattro 臻选动感型
吉利汽车,星越,2020-06-23,,吉利星越车机死机升级系统无法解决,487333,"H155,O348,",处理反馈,2019款 350T AWD 驭星者
吉利汽车,星越,2020-06-23,,吉利星越车机死机系统升级不兑现,487332,"H155,M279,",处理反馈,2019款 350T 耀星者
东风标致,标致408,2020-06-23,,东风标致408下雨天副驾驶漏水4S店不保修,487331,"H109,I297,Q322,",处理反馈,2018款 350THP 自动 豪华版
吉利汽车,星越,2020-06-23,,吉利星越车机频繁死机系统与宣传不符,487328,"H155,M279,",处理反馈,2019款 改款 350T 耀星者
广汽丰田,凯美瑞,2020-06-23,,广汽丰田凯美瑞左前下摆臂球头处渗油,487325,"G210,",处理反馈,2016款 2.5HG CVT 十周年纪念豪华导航版 双擎
广汽乘用车,传祺GA6,2020-06-23,,广汽传祺GA6换挡顿挫 转向及车内挡杆异响,487322,"B19,D59,H164,",处理反馈,2016款 235T DCT 豪华版
吉利汽车,博越,2020-06-23,,吉利博越变速箱挡位显示灯与宣传不符,487321,"M279,",处理反馈,2020款 1.8TD DCT 智尊PRO
长城汽车,哈弗F5,2020-06-23,,哈弗F5大灯进水售后告知正常未解决,487320,"H88,I292,",用户评分,2019款 1.5T i型 国潮版  国VI
吉利汽车,星越,2020-06-23,,吉利星越车机系统升级后卡顿未解决,487319,"O348,",处理反馈,2019款 300T 耀星者
